연도,학년,과목,문형,문항번호,성취기준_코드,시대,문제형식,세부형식,자료핵심요소,정답핵심요소,이미지경로,원본PDF,처리일시
2022,공통,한국사,60회심화,22,,조선,계획서형,한강 답사 계획서,"행주산성, 절두산, 현충원, 풍납토성, 암사동",행주산성≠정봉수·후금(오류),output/images/hancert/2022_공통_한국사_60회심화_22.png,input/pdf/한능검/(60회)한국사(심화)검사지.pdf,2026-07-12T22:42:09+09:00
2022,공통,한국사,60회심화,23,,조선,실내전시형,특별전·성학십도,"이황, 도산서당, 성학십도, 경(敬)",기대승과 사단칠정 논쟁,output/images/hancert/2022_공통_한국사_60회심화_23.png,input/pdf/한능검/(60회)한국사(심화)검사지.pdf,2026-07-12T22:42:09+09:00
2022,공통,한국사,60회심화,24,,조선,자료 제시형,검색창·인물,"마과회통, 목민심서, 강진 유배",경세유표,output/images/hancert/2022_공통_한국사_60회심화_24.png,input/pdf/한능검/(60회)한국사(심화)검사지.pdf,2026-07-12T22:42:09+09:00
2022,공통,한국사,60회심화,25,,조선,자료 제시형,단일 문헌·쇄미록,"신립·이일, 조령, 임금 몽진",곽재우 의병,output/images/hancert/2022_공통_한국사_60회심화_25.png,input/pdf/한능검/(60회)한국사(심화)검사지.pdf,2026-07-12T22:42:09+09:00
2022,공통,한국사,60회심화,26,,조선,영상자료형,유튜브 채널·전주,"동고산성, 전라감영, 전동성당, 경기전",경기전·태조 어진 조사,output/images/hancert/2022_공통_한국사_60회심화_26.png,input/pdf/한능검/(60회)한국사(심화)검사지.pdf,2026-07-12T22:42:09+09:00
2022,공통,한국사,60회심화,27,,조선,자료 제시형,복합 교육기관·보기,"국학, 국자감 7재, 성균관, 육영공원","ㄱ, ㄷ (국학·성균관 석전)",output/images/hancert/2022_공통_한국사_60회심화_27.png,input/pdf/한능검/(60회)한국사(심화)검사지.pdf,2026-07-12T22:42:09+09:00
2022,공통,한국사,60회심화,28,,조선,자료 제시형,일기·상품 작물,"인삼·담배·목화, 노상추일기","주전도감 해동통보(고려, 부적절)",output/images/hancert/2022_공통_한국사_60회심화_28.png,input/pdf/한능검/(60회)한국사(심화)검사지.pdf,2026-07-12T22:42:09+09:00
2022,공통,한국사,60회심화,29,,조선,역사 장면형,연표 장면·영조,"목호룡 고변, 사도세자 시호 회복",이인좌의 난,output/images/hancert/2022_공통_한국사_60회심화_29.png,input/pdf/한능검/(60회)한국사(심화)검사지.pdf,2026-07-12T22:42:09+09:00
2022,공통,한국사,60회심화,30,,개항기,자료 제시형,단일 문헌·갑신정변,"우정국, 홍영식, 민영익 피습",텐진 조약 체결,output/images/hancert/2022_공통_한국사_60회심화_30.png,input/pdf/한능검/(60회)한국사(심화)검사지.pdf,2026-07-12T22:42:09+09:00
2022,공통,한국사,60회심화,31,,개항기,자료 제시형,서신·병인양요,"로즈 제독, 강화도, 외규장각 도서",양헌수 정족산성 승리,output/images/hancert/2022_공통_한국사_60회심화_31.png,input/pdf/한능검/(60회)한국사(심화)검사지.pdf,2026-07-12T22:42:09+09:00
2022,공통,한국사,60회심화,32,,개항기,자료 제시형,AR·환구단 해설,"환구단, 황제 즉위, 대한제국","동문학 설립(이전, 옳지 않음)",output/images/hancert/2022_공통_한국사_60회심화_32.png,input/pdf/한능검/(60회)한국사(심화)검사지.pdf,2026-07-12T22:42:09+09:00
2022,공통,한국사,60회심화,33,,개항기,자료 제시형,복합 문헌·화폐 정리,"백동화 처분, 폐제 개혁 진정서",메가타 주도,output/images/hancert/2022_공통_한국사_60회심화_33.png,input/pdf/한능검/(60회)한국사(심화)검사지.pdf,2026-07-12T22:42:09+09:00
2022,공통,한국사,60회심화,34,,개항기,영상자료형,가상 뉴스·군대 해산,"박승환 자결, 남대문 총격전",을사늑약~국권 피탈(마),output/images/hancert/2022_공통_한국사_60회심화_34.png,input/pdf/한능검/(60회)한국사(심화)검사지.pdf,2026-07-12T22:42:09+09:00
2022,공통,한국사,60회심화,35,,일제강점기,자료 제시형,인물 독백·저서,"이순신전, 을지문덕전, 조선상고사",조선혁명선언 작성,output/images/hancert/2022_공통_한국사_60회심화_35.png,input/pdf/한능검/(60회)한국사(심화)검사지.pdf,2026-07-12T22:42:09+09:00
2022,공통,한국사,60회심화,36,,개항기,역사 신문형,역사 신문·전차 사고,"종로 전차, 동대문 개통, 1899",베델 대한매일신보 창간,output/images/hancert/2022_공통_한국사_60회심화_36.png,input/pdf/한능검/(60회)한국사(심화)검사지.pdf,2026-07-12T22:42:09+09:00
2022,공통,한국사,60회심화,37,,일제강점기,자료 제시형,문학 자료·만세전,"교원 제복·칼, 3·1운동 이전",회사령 시행,output/images/hancert/2022_공통_한국사_60회심화_37.png,input/pdf/한능검/(60회)한국사(심화)검사지.pdf,2026-07-12T22:42:09+09:00
2022,공통,한국사,60회심화,38,,일제강점기,대화형,학생 2인·신문 광고,"경성방직, 우리가 만든 것 우리가 쓰자",자작회·토산 애용 부인회,output/images/hancert/2022_공통_한국사_60회심화_38.png,input/pdf/한능검/(60회)한국사(심화)검사지.pdf,2026-07-12T22:42:09+09:00
2022,공통,한국사,60회심화,39,,일제강점기,자료 제시형,이달의 독립운동가,"화북 지대, 호가장 전투, 손일봉 등",조선독립동맹 산하 개편,output/images/hancert/2022_공통_한국사_60회심화_39.png,input/pdf/한능검/(60회)한국사(심화)검사지.pdf,2026-07-12T22:42:09+09:00
2022,공통,한국사,60회심화,40,,일제강점기,대화형,방송 스튜디오·2인 대화,"최흥식 편지, 김구, 한인애국단",이봉창·윤봉길 단원,output/images/hancert/2022_공통_한국사_60회심화_40.png,input/pdf/한능검/(60회)한국사(심화)검사지.pdf,2026-07-12T22:42:09+09:00
2022,공통,한국사,60회심화,41,,현대,역사 신문형,신문·미소공위,"하지 성명, 제2차 미소 공동 위원회",좌우합작 7원칙,output/images/hancert/2022_공통_한국사_60회심화_41.png,input/pdf/한능검/(60회)한국사(심화)검사지.pdf,2026-07-12T22:42:09+09:00
2022,공통,한국사,60회심화,42,,현대,자료 제시형,국회 속기록·연표,"발췌 개헌, 신익희, 기립 표결",5·10 총선거~정전협정(가),output/images/hancert/2022_공통_한국사_60회심화_42.png,input/pdf/한능검/(60회)한국사(심화)검사지.pdf,2026-07-12T22:42:09+09:00
2022,공통,한국사,60회심화,43,,현대,계획서형,민주화 답사 안내,"경무대 발포, 수송초, 고려대·교수단 시위",장면 내각 출범 배경,output/images/hancert/2022_공통_한국사_60회심화_43.png,input/pdf/한능검/(60회)한국사(심화)검사지.pdf,2026-07-12T22:42:09+09:00
2022,공통,한국사,60회심화,44,,현대,자료 제시형,단일 호소문·유신,"장준하, 100만인 청원, 헌법 개정",대통령 국회 해산권,output/images/hancert/2022_공통_한국사_60회심화_44.png,input/pdf/한능검/(60회)한국사(심화)검사지.pdf,2026-07-12T22:42:09+09:00
2022,공통,한국사,60회심화,45,,현대,자료 제시형,우표 모음첩,"포항제철, 경부고속도로, 100억 달러 수출",새마을 운동,output/images/hancert/2022_공통_한국사_60회심화_45.png,input/pdf/한능검/(60회)한국사(심화)검사지.pdf,2026-07-12T22:42:09+09:00
2022,공통,한국사,60회심화,46,,고려,자료 제시형,인쇄 문화 복합,"무구정광다라니경, 팔만대장경, 직지, 갑인자, 한성순보",무구정광≠주자소(오류),output/images/hancert/2022_공통_한국사_60회심화_46.png,input/pdf/한능검/(60회)한국사(심화)검사지.pdf,2026-07-12T22:42:09+09:00
2022,공통,한국사,60회심화,47,,현대,자료 제시형,화면 해설·보도지침,"보도지침 공개, 정의구현사제단, 남영동","서울 올림픽(이후, 옳지 않음)",output/images/hancert/2022_공통_한국사_60회심화_47.png,input/pdf/한능검/(60회)한국사(심화)검사지.pdf,2026-07-12T22:42:09+09:00
2022,공통,한국사,60회심화,48,,현대,영상자료형,TV 뉴스·남북 합의서,"남북 기본합의서, 고위급 회담",북방 외교·중국 수교,output/images/hancert/2022_공통_한국사_60회심화_48.png,input/pdf/한능검/(60회)한국사(심화)검사지.pdf,2026-07-12T22:42:09+09:00
2022,공통,한국사,60회심화,49,,일제강점기,자료 제시형,목차·여성 인물,"선덕여왕, 빙허각, 김만덕, 남자현, 강주룡",남자현≠광복 기관지(오류),output/images/hancert/2022_공통_한국사_60회심화_49.png,input/pdf/한능검/(60회)한국사(심화)검사지.pdf,2026-07-12T22:42:09+09:00
2022,공통,한국사,60회심화,50,,조선,답사형,광한루·오작교 가이드,"견우·직녀, 음력 7월 7일, 바느질 기원",칠석,output/images/hancert/2022_공통_한국사_60회심화_50.png,input/pdf/한능검/(60회)한국사(심화)검사지.pdf,2026-07-12T22:42:09+09:00
2022,공통,한국사,61회심화,1,,삼국시대 이전,영상자료형,발굴 뉴스·TV,"양양 오산리, 빗살무늬·덧무늬 토기, 약 8천 년 전",농경·목축으로 식량 생산,output/images/hancert/2022_공통_한국사_61회심화_1.png,input/pdf/한능검/(61회)한국사(심화)검사지.pdf,2026-07-12T22:42:22+09:00
2022,공통,한국사,61회심화,2,,삼국시대 이전,수업형,한국사 발표 대회·학생 3인,"5·10월 제천, 신지·읍차, 목지국·사로국·구야국",소도 존재,output/images/hancert/2022_공통_한국사_61회심화_2.png,input/pdf/한능검/(61회)한국사(심화)검사지.pdf,2026-07-12T22:42:22+09:00
2022,공통,한국사,61회심화,3,,삼국시대,자료 제시형,단일 문헌·주서,"16관등·좌평·달솔, 5방·웅진성",부여씨·8성 귀족 지배층,output/images/hancert/2022_공통_한국사_61회심화_3.png,input/pdf/한능검/(61회)한국사(심화)검사지.pdf,2026-07-12T22:42:22+09:00
2022,공통,한국사,61회심화,4,,삼국시대,자료 제시형,전자 사료관·왕대별,"관미성, 왜 격퇴, 후연 공격, 태자 거련",영락 연호 사용,output/images/hancert/2022_공통_한국사_61회심화_4.png,input/pdf/한능검/(61회)한국사(심화)검사지.pdf,2026-07-12T22:42:22+09:00
2022,공통,한국사,61회심화,5,,남북국시대,실내전시형,전시실·도슨트,"금강삼매경론, 대승기신론소, 무애가, 정토 신앙",일심·화쟁 사상,output/images/hancert/2022_공통_한국사_61회심화_5.png,input/pdf/한능검/(61회)한국사(심화)검사지.pdf,2026-07-12T22:42:22+09:00
2022,공통,한국사,61회심화,6,,삼국시대,자료 제시형,단일 문헌·위서,"개로왕 북위 구원 요청, 고국원·근구수",장수왕 평양 천도·남진,output/images/hancert/2022_공통_한국사_61회심화_6.png,input/pdf/한능검/(61회)한국사(심화)검사지.pdf,2026-07-12T22:42:22+09:00
2022,공통,한국사,61회심화,7,,삼국시대,자료 제시형,복합 문헌·시기 사이,"연정토 투항, 매소성 전투",문무왕 안승 보덕왕 책봉,output/images/hancert/2022_공통_한국사_61회심화_7.png,input/pdf/한능검/(61회)한국사(심화)검사지.pdf,2026-07-12T22:42:22+09:00
2022,공통,한국사,61회심화,8,,남북국시대,역사 장면형,가상 대화·김헌창의 난,"웅천주 도독 김헌창, 장안·경운",원종·애노 사벌주 봉기,output/images/hancert/2022_공통_한국사_61회심화_8.png,input/pdf/한능검/(61회)한국사(심화)검사지.pdf,2026-07-12T22:42:22+09:00
2022,공통,한국사,61회심화,9,,고려,영상자료형,현지 중계·표충단,"신숭겸, 공산 전투, 대구 표충단",흑창 설치,output/images/hancert/2022_공통_한국사_61회심화_9.png,input/pdf/한능검/(61회)한국사(심화)검사지.pdf,2026-07-12T22:42:22+09:00
2022,공통,한국사,61회심화,10,,남북국시대,자료 제시형,시나리오·궁궐 대화,"대문예, 흑수 말갈, 당 조공",장문휴 등주 공격,output/images/hancert/2022_공통_한국사_61회심화_10.png,input/pdf/한능검/(61회)한국사(심화)검사지.pdf,2026-07-12T22:42:22+09:00
2022,공통,한국사,61회심화,11,,남북국시대,자료 제시형,축제 안내·태봉제,"태봉, 철원, 신라 왕족 출신",미륵불 자처·왕권 강화,output/images/hancert/2022_공통_한국사_61회심화_11.png,input/pdf/한능검/(61회)한국사(심화)검사지.pdf,2026-07-12T22:42:22+09:00
2022,공통,한국사,61회심화,12,,고려,자료 제시형,문학 자료·연표,"정지상 송인, 묘청, 김부식, 서경",이자겸의 난~개경 환도 사이(다),output/images/hancert/2022_공통_한국사_61회심화_12.png,input/pdf/한능검/(61회)한국사(심화)검사지.pdf,2026-07-12T22:42:22+09:00
2022,공통,한국사,61회심화,13,,고려,자료 제시형,복합 문헌·시기 사이,"최충헌 정변, 유경·최의 제거",만적 난 모의,output/images/hancert/2022_공통_한국사_61회심화_13.png,input/pdf/한능검/(61회)한국사(심화)검사지.pdf,2026-07-12T22:42:22+09:00
2022,공통,한국사,61회심화,14,,고려,실내전시형,묘지명 전시·도슨트,"수령 옹주, 공녀, 원 간섭",정동행성 회의 관리,output/images/hancert/2022_공통_한국사_61회심화_14.png,input/pdf/한능검/(61회)한국사(심화)검사지.pdf,2026-07-12T22:42:22+09:00
2022,공통,한국사,61회심화,15,,고려,자료 제시형,복합 인물 설명,의상·균여·의천·요세,의천 교장 편찬,output/images/hancert/2022_공통_한국사_61회심화_15.png,input/pdf/한능검/(61회)한국사(심화)검사지.pdf,2026-07-12T22:42:22+09:00
2022,공통,한국사,61회심화,16,,고려,자료 제시형,해설·시·무역항,"이규보, 벽란도, 송·아라비아 상인",활구(은병) 주조,output/images/hancert/2022_공통_한국사_61회심화_16.png,input/pdf/한능검/(61회)한국사(심화)검사지.pdf,2026-07-12T22:42:22+09:00
2022,공통,한국사,61회심화,17,,고려,자료 제시형,단일 문헌·외침 대응,"김윤후, 충주성, 관노비 문서",최우 강화도 천도,output/images/hancert/2022_공통_한국사_61회심화_17.png,input/pdf/한능검/(61회)한국사(심화)검사지.pdf,2026-07-12T22:42:22+09:00
2022,공통,한국사,61회심화,18,,고려,자료 제시형,문화유산 선지·나전칠기,"나전 합, 서긍, 고려 문화유산","법주사 팔상전(조선, 제외)",output/images/hancert/2022_공통_한국사_61회심화_18.png,input/pdf/한능검/(61회)한국사(심화)검사지.pdf,2026-07-12T22:42:22+09:00
2022,공통,한국사,61회심화,19,,고려,계획서형,다큐멘터리 기획안,"화약 자체 생산, 이원, 진포 왜구 격퇴",화통도감 설치 건의,output/images/hancert/2022_공통_한국사_61회심화_19.png,input/pdf/한능검/(61회)한국사(심화)검사지.pdf,2026-07-12T22:42:22+09:00
2022,공통,한국사,61회심화,20,,조선,역사 장면형,궁중 대화·악학궤범,"악학궤범, 성현, 장악원",동국여지승람 편찬,output/images/hancert/2022_공통_한국사_61회심화_20.png,input/pdf/한능검/(61회)한국사(심화)검사지.pdf,2026-07-12T22:42:22+09:00
2022,공통,한국사,61회심화,21,,조선,자료 제시형,복합 문헌·시기 사이,"갑자사화·폐비 윤씨, 기묘사화·조광조",중종반정,output/images/hancert/2022_공통_한국사_61회심화_21.png,input/pdf/한능검/(61회)한국사(심화)검사지.pdf,2026-07-12T22:42:22+09:00
2022,공통,한국사,61회심화,22,,조선,자료 제시형,역사 용어 해설,"대사헌, 규찰·탄핵, 경국대전",5품 이하 서경권,output/images/hancert/2022_공통_한국사_61회심화_22.png,input/pdf/한능검/(61회)한국사(심화)검사지.pdf,2026-07-12T22:42:22+09:00
2022,공통,한국사,61회심화,23,,조선,자료 제시형,복합 문헌·순서,"허적·경신환국, 희빈 장씨·갑술환국, 송시열·기사환국",(가)-(다)-(나),output/images/hancert/2022_공통_한국사_61회심화_23.png,input/pdf/한능검/(61회)한국사(심화)검사지.pdf,2026-07-12T22:42:22+09:00
2022,공통,한국사,61회심화,24,,조선,자료 제시형,태블릿·일기 자료,"강도일기, 봉림대군, 남한산성",임경업 백마산성 대비,output/images/hancert/2022_공통_한국사_61회심화_24.png,input/pdf/한능검/(61회)한국사(심화)검사지.pdf,2026-07-12T22:42:22+09:00
2022,공통,한국사,61회심화,25,,조선,역사 신문형,역사 신문·거상,"임상옥, 만상, 인삼 무역",초량 왜관 대일 교역,output/images/hancert/2022_공통_한국사_61회심화_25.png,input/pdf/한능검/(61회)한국사(심화)검사지.pdf,2026-07-12T22:42:22+09:00
2022,공통,한국사,61회심화,26,,조선,자료 제시형,답사 안내·서호천,"수원 화성, 장용영, 현륭원·사도세자",금난전권 폐지(신해통공),output/images/hancert/2022_공통_한국사_61회심화_26.png,input/pdf/한능검/(61회)한국사(심화)검사지.pdf,2026-07-12T22:42:22+09:00
2022,공통,한국사,61회심화,27,,조선,자료 제시형,단일 문헌·진주민란,"진주, 안핵사 박규수",삼정이정청 설치 계기,output/images/hancert/2022_공통_한국사_61회심화_27.png,input/pdf/한능검/(61회)한국사(심화)검사지.pdf,2026-07-12T22:42:22+09:00
2022,공통,한국사,61회심화,28,,조선,실내전시형,회화 전시·도슨트,"단원, 추성부도, 도화서",벼타작,output/images/hancert/2022_공통_한국사_61회심화_28.png,input/pdf/한능검/(61회)한국사(심화)검사지.pdf,2026-07-12T22:42:22+09:00
2022,공통,한국사,61회심화,29,,조선,자료 제시형,복합 문헌·편찬 순서,"삼국사기, 동국통감, 삼국유사, 발해고",(가)-(다)-(나)-(라),output/images/hancert/2022_공통_한국사_61회심화_29.png,input/pdf/한능검/(61회)한국사(심화)검사지.pdf,2026-07-12T22:42:22+09:00
2022,공통,한국사,61회심화,30,,조선,자료 제시형,복합 문헌·보기 선택,"기전체 삼국사기, 기이편 삼국유사","ㄱ, ㄷ",output/images/hancert/2022_공통_한국사_61회심화_30.png,input/pdf/한능검/(61회)한국사(심화)검사지.pdf,2026-07-12T22:42:22+09:00
2022,공통,한국사,61회심화,31,,개항기,답사형,충장사·가이드,"어재연, 광성보, 로저스, 신미양요",척화비 건립,output/images/hancert/2022_공통_한국사_61회심화_31.png,input/pdf/한능검/(61회)한국사(심화)검사지.pdf,2026-07-12T22:42:22+09:00
2022,공통,한국사,61회심화,32,,개항기,자료 제시형,복합 조약·시기 사이,"강화도 조약, 조미 수호 통상 조약",통리기무아문 설치,output/images/hancert/2022_공통_한국사_61회심화_32.png,input/pdf/한능검/(61회)한국사(심화)검사지.pdf,2026-07-12T22:42:22+09:00
2022,공통,한국사,61회심화,33,,개항기,자료 제시형,외교 전문·임오군란,"하나부사, 민태호·민겸호, 호리모토",구식 군인 차별이 발단,output/images/hancert/2022_공통_한국사_61회심화_33.png,input/pdf/한능검/(61회)한국사(심화)검사지.pdf,2026-07-12T22:42:22+09:00
2022,공통,한국사,61회심화,34,,개항기,대화형,2인 대화·인물 화면,"한힌샘, 주보따리, 독립신문사",국문 연구소 연구위원,output/images/hancert/2022_공통_한국사_61회심화_34.png,input/pdf/한능검/(61회)한국사(심화)검사지.pdf,2026-07-12T22:42:22+09:00
2022,공통,한국사,61회심화,35,,개항기,자료 제시형,단일 문헌·국채보상,"외채 1,300만 원, 의연금",대한매일신보 등 언론 참여,output/images/hancert/2022_공통_한국사_61회심화_35.png,input/pdf/한능검/(61회)한국사(심화)검사지.pdf,2026-07-12T22:42:22+09:00
2022,공통,한국사,61회심화,36,,개항기,자료 제시형,편지·비밀 결사,"안창호, 양기탁·이승훈, 105인 사건, 대성학교",태극서관 운영,output/images/hancert/2022_공통_한국사_61회심화_36.png,input/pdf/한능검/(61회)한국사(심화)검사지.pdf,2026-07-12T22:42:22+09:00
2022,공통,한국사,61회심화,37,,일제강점기,자료 제시형,지적원도·해설,"토지 조사 사업, 지적 원도",헌병 경찰의 태형,output/images/hancert/2022_공통_한국사_61회심화_37.png,input/pdf/한능검/(61회)한국사(심화)검사지.pdf,2026-07-12T22:42:22+09:00
2022,공통,한국사,61회심화,38,,일제강점기,역사 신문형,신문·유물 등록,"박상진, 상덕태상회, 군자금·친일파 처단",공화정체 국민국가 목표,output/images/hancert/2022_공통_한국사_61회심화_38.png,input/pdf/한능검/(61회)한국사(심화)검사지.pdf,2026-07-12T22:42:22+09:00
2022,공통,한국사,61회심화,39,,일제강점기,자료 제시형,유적 안내·딜쿠샤,"앨버트 테일러, 독립선언서, 제암리 학살",문화 통치 실시 배경,output/images/hancert/2022_공통_한국사_61회심화_39.png,input/pdf/한능검/(61회)한국사(심화)검사지.pdf,2026-07-12T22:42:22+09:00
2022,공통,한국사,61회심화,40,,일제강점기,자료 제시형,AR·이동녕 안내,"임시 의정원, 삼권분립 헌법, 상하이 이동","구미위원부·이륭양행 교통국(ㄷ,ㄹ)",output/images/hancert/2022_공통_한국사_61회심화_40.png,input/pdf/한능검/(61회)한국사(심화)검사지.pdf,2026-07-12T22:42:22+09:00
2022,공통,한국사,61회심화,41,,일제강점기,자료 제시형,사이버 전시실·공출 포스터,"쌀 공출, 미·영 상대 전쟁",여자 정신 근로령,output/images/hancert/2022_공통_한국사_61회심화_41.png,input/pdf/한능검/(61회)한국사(심화)검사지.pdf,2026-07-12T22:42:22+09:00
2022,공통,한국사,61회심화,42,,일제강점기,자료 제시형,강의실 게시판·조별 과제,개신교·대종교·원불교·천도교·천주교,원불교 간척·새생활 운동,output/images/hancert/2022_공통_한국사_61회심화_42.png,input/pdf/한능검/(61회)한국사(심화)검사지.pdf,2026-07-12T22:42:22+09:00
2022,공통,한국사,61회심화,43,,일제강점기,자료 제시형,단일 문헌·기념 선언,"조선민족혁명당, 1938년, 한국광복군 통합",김원봉·윤세주 중국 관내 창설,output/images/hancert/2022_공통_한국사_61회심화_43.png,input/pdf/한능검/(61회)한국사(심화)검사지.pdf,2026-07-12T22:42:22+09:00
2022,공통,한국사,61회심화,44,,일제강점기,계획서형,유적 조사 보고서,"명동학교, 서전서숙, 용정촌",북로군정서 조직,output/images/hancert/2022_공통_한국사_61회심화_44.png,input/pdf/한능검/(61회)한국사(심화)검사지.pdf,2026-07-12T22:42:22+09:00
